"Nome","Tipo attività","Descrizione"
"Staffelegg-Salhöhe-Bözberg","bicicletta",""

"Segmento","Punto","Latitudine (gradi)","Longitudine (gradi)","Altitudine (m)","Rotta (gradi)","Precisione (m)","Velocità (m/s)","Durata","Potenza (W)","Cadenza (rpm)","Frequenza cardiaca (bpm)"
"1","1","47.490491","8.215556","387.5","","5","0","2015-08-18T17:27:42.018Z","","",""
"1","2","47.490475","8.215449","397.5","294.0","10","0.3128","2015-08-18T17:28:38.044Z","","",""
"1","3","47.490475","8.215447","397.5","274.0","10","0.1877","2015-08-18T17:28:38.844Z","","",""
"1","4","47.490473","8.215443","397.70001220703125","274.0","10","0","2015-08-18T17:28:40.043Z","","",""
"1","5","47.49047","8.215441","397.5","256.0","10","0.5004","2015-08-18T17:28:40.959Z","","",""
"1","6","47.49047","8.215441","397.5","256.0","10","0.5004","2015-08-18T17:28:40.996Z","","",""
"1","7","47.49047","8.215448","397.0999755859375","240.0","10","0.1877","2015-08-18T17:28:41.946Z","","",""
"1","8","47.490474","8.215464","396.4000244140625","193.0","10","0","2015-08-18T17:28:52.279Z","","",""
"1","9","47.490474","8.215469","396.0","212.0","10","0.688","2015-08-18T17:28:52.887Z","","",""
"1","10","47.490413","8.215379","397.70001220703125","226.0","10","2.4394","2015-08-18T17:28:58.694Z","","",""
"1","11","47.490394","8.215344","397.79998779296875","231.0","10","3.3777","2015-08-18T17:28:58.806Z","","",""
"1","12","47.490348","8.215256","398.0","229.0","10","4.1908","2015-08-18T17:29:01.356Z","","",""
"1","13","47.490321","8.215211","398.20001220703125","227.0","10","4.3785","2015-08-18T17:29:02.006Z","","",""
"1","14","47.490262","8.215119","398.4000244140625","230.0","10","4.6287","2015-08-18T17:29:03.868Z","","",""
"1","15","47.490234","8.215069","398.4000244140625","231.0","10","4.9415","2015-08-18T17:29:05.281Z","","",""
"1","16","47.490204","8.215018","398.5","228.0","10","4.8789","2015-08-18T17:29:05.955Z","","",""
"1","17","47.490174","8.214969","398.5","228.0","10","5.004","2015-08-18T17:29:06.835Z","","",""
"1","18","47.49012","8.214872","398.5999755859375","229.0","10","4.5661","2015-08-18T17:29:08.922Z","","",""
"1","19","47.490093","8.214822","398.70001220703125","235.0","10","4.6912","2015-08-18T17:29:09.809Z","","",""
"1","20","47.490065","8.214768","398.70001220703125","232.0","10","5.004","2015-08-18T17:29:11.400Z","","",""
"1","21","47.490033","8.214717","399.0","229.0","10","5.004","2015-08-18T17:29:11.817Z","","",""
"1","22","47.489999","8.214662","399.0","229.0","10","5.2542","2015-08-18T17:29:12.838Z","","",""
"1","23","47.489938","8.214538","399.4000244140625","236.0","10","5.5669","2015-08-18T17:29:15.284Z","","",""
"1","24","47.489903","8.214477","399.5999755859375","230.0","10","5.6295","2015-08-18T17:29:16.072Z","","",""
"1","25","47.489865","8.214417","399.70001220703125","229.0","10","5.5669","2015-08-18T17:29:17.580Z","","",""
"1","26","47.489865","8.214417","399.70001220703125","229.0","10","5.5669","2015-08-18T17:29:17.650Z","","",""
"1","27","47.489779","8.214296","399.5","224.0","10","6.1925","2015-08-18T17:29:19.176Z","","",""
"1","28","47.489731","8.214242","399.4000244140625","219.0","10","6.3176","2015-08-18T17:29:20.559Z","","",""
"1","29","47.489687","8.214183","399.29998779296875","222.0","10","6.3176","2015-08-18T17:29:21.430Z","","",""
"1","30","47.489648","8.214126","399.29998779296875","224.0","10","5.8797","2015-08-18T17:29:22.452Z","","",""
"1","31","47.489618","8.214066","399.29998779296875","230.0","10","5.5669","2015-08-18T17:29:22.842Z","","",""
"1","32","47.489583","8.214008","399.29998779296875","230.0","15","5.4419","2015-08-18T17:29:24.063Z","","",""
"1","33","47.489544","8.213945","399.29998779296875","230.0","15","5.8797","2015-08-18T17:29:24.974Z","","",""
"1","34","47.489503","8.213882","399.29998779296875","228.0","15","6.1299","2015-08-18T17:29:26.049Z","","",""
"1","35","47.489461","8.213819","399.4000244140625","227.0","15","6.1299","2015-08-18T17:29:26.964Z","","",""
"1","36","47.489418","8.213756","399.5","226.0","15","6.1925","2015-08-18T17:29:27.842Z","","",""
"1","37","47.489371","8.213692","399.5","224.0","15","6.6303","2015-08-18T17:29:28.843Z","","",""
"1","38","47.489324","8.213629","399.4000244140625","224.0","15","6.5677","2015-08-18T17:29:30.027Z","","",""
"1","39","47.489281","8.213564","399.5","227.0","15","6.3176","2015-08-18T17:29:30.881Z","","",""
"1","40","47.489239","8.2135","399.5999755859375","227.0","15","6.1299","2015-08-18T17:29:32.086Z","","",""
"1","41","47.489199","8.213451","399.5","218.0","15","5.3168","2015-08-18T17:29:32.806Z","","",""
"1","42","47.489154","8.213414","399.5","202.0","15","4.8789","2015-08-18T17:29:33.848Z","","",""
"1","43","47.489092","8.213403","399.20001220703125","177.0","15","5.6295","2015-08-18T17:29:34.918Z","","",""
"1","44","47.489032","8.213429","399.0999755859375","156.0","15","5.9422","2015-08-18T17:29:36.003Z","","",""
"1","45","47.488972","8.21348","399.0999755859375","144.0","15","6.5677","2015-08-18T17:29:36.875Z","","",""
"1","46","47.48891","8.213533","398.79998779296875","146.0","15","6.943","2015-08-18T17:29:37.960Z","","",""
"1","47","47.48885","8.213587","398.70001220703125","146.0","15","7.0056","2015-08-18T17:29:38.810Z","","",""
"1","48","47.488792","8.213642","398.79998779296875","144.0","15","6.8805","2015-08-18T17:29:39.859Z","","",""
"1","49","47.488734","8.213699","398.5","143.0","15","7.1307","2015-08-18T17:29:41.015Z","","",""
"1","50","47.488671","8.21375","398.20001220703125","145.0","15","7.1933","2015-08-18T17:29:41.874Z","","",""
"1","51","47.488609","8.213805","398.0999755859375","146.0","15","7.3809","2015-08-18T17:29:42.963Z","","",""
"1","52","47.48855","8.213859","398.20001220703125","146.0","15","7.3184","2015-08-18T17:29:43.880Z","","",""
"1","53","47.488498","8.213904","398.29998779296875","151.0","15","6.1925","2015-08-18T17:29:44.966Z","","",""
"1","54","47.488446","8.213923","398.4000244140625","169.0","15","5.7546","2015-08-18T17:29:45.837Z","","",""
"1","55","47.4884","8.213899","398.5999755859375","193.0","15","5.1291","2015-08-18T17:29:46.829Z","","",""
"1","56","47.488361","8.213866","398.79998779296875","209.0","15","4.9415","2015-08-18T17:29:47.901Z","","",""
"1","57","47.488324","8.213824","399.0","214.0","15","5.004","2015-08-18T17:29:49.074Z","","",""
"1","58","47.488294","8.213758","399.20001220703125","231.0","15","5.5044","2015-08-18T17:29:49.920Z","","",""
"1","59","47.488256","8.213685","399.29998779296875","231.0","15","6.1299","2015-08-18T17:29:50.928Z","","",""
"1","60","47.488216","8.21361","399.4000244140625","228.0","15","6.8179","2015-08-18T17:29:51.834Z","","",""
"1","61","47.488181","8.213531","399.5999755859375","235.0","15","6.6929","2015-08-18T17:29:52.831Z","","",""
"1","62","47.488142","8.213453","399.4000244140625","229.0","15","6.8805","2015-08-18T17:29:53.924Z","","",""
"1","63","47.488102","8.213374","399.4000244140625","229.0","15","7.1307","2015-08-18T17:29:55.410Z","","",""
"1","64","47.488057","8.213293","399.4000244140625","230.0","15","7.506","2015-08-18T17:29:56.093Z","","",""
"1","65","47.488013","8.213214","399.4000244140625","231.0","15","7.1307","2015-08-18T17:29:56.894Z","","",""
"1","66","47.487976","8.213131","399.5","235.0","15","7.0056","2015-08-18T17:29:57.884Z","","",""
"1","67","47.487938","8.213046","399.70001220703125","236.0","15","7.0056","2015-08-18T17:29:58.890Z","","",""
